2000,Sparta Rotterdam,Danny Koevermans  D. Koevermans,Jong Sparta,21,CS,-
2000,NEC Nijmegen,Gjorgji Hristov  G. Hristov,FC Barnsley,24,CS,transfervrij
2000,NEC Nijmegen,Mike Zonneveld  M. Zonneveld,Go Ahead Eagles,19,LV,transfervrij
2000,NEC Nijmegen,Albert van der Sleen  A. van der Sleen,Eindhoven,37,K,transfervrij
2000,NEC Nijmegen,Dennis Schulp  D. Schulp,Willem II,22,CM,transfervrij
2000,NEC Nijmegen,Erik Wegh  Erik Wegh,Vit./AGOVV O19,20,DM,transfervrij
2000,NEC Nijmegen,Kevin Moeliker  K. Moeliker,Dordrecht '90,20,K,transfervrij
2000,NEC Nijmegen,Guillano Grot  G. Grot,De Treffers O19,17,Aanval,transfervrij
2000,Willem II,Özcan Özkaya  Ö. Özkaya,Onbekend,19,Aanval,?
2000,Willem II,Youssef Mariana  Y. Mariana,Al-Shaab,26,LM,?
2000,Willem II,Stefan Fabrie  S. Fabrie,Onbekend,19,K,?
2000,Willem II,Marcel Meeuwis  M. Meeuwis,Jong Willem II,19,DM,-
2000,Willem II,Wout van Steenveldt  W. van Steenveldt,RKC Waalwijk,20,AM,nan
2000,NAC Breda,Csaba Fehér  C. Fehér,KFC Verbr. Geel,24,DM,450 dzd. €
2000,NAC Breda,Bryan Roy  Bryan Roy,Hertha BSC,30,LB,transfervrij
2000,NAC Breda,Orlando Engelaar  O. Engelaar,Jong Feyenoord,20,DM,transfervrij
2000,NAC Breda,Christian Opschoor  C. Opschoor,Kozakken Boys,19,RB,transfervrij
2000,NAC Breda,Karim Sedouki  K. Sedouki,Onbekend,21,Middenveld,?
2000,NAC Breda,Jerome Riverola  J. Riverola,Onbekend,21,Middenveld,?
2000,NAC Breda,Niels Kerkhof  N. Kerkhof,Jong PSV,20,Verdediging,?
2000,NAC Breda,Arno Doomernik  A. Doomernik,Roda JC,29,DM,?
2000,NAC Breda,Mark Schenning  M. Schenning,FC Den Bosch,30,CV,?
2000,NAC Breda,Gábor Babos  G. Babos,MTK Hungária,25,K,?
2000,NAC Breda,Robbie Haemhouts  R. Haemhouts,NAC Breda O19,17,CM,-
2000,PSV,Mateja Kezman  M. Kezman,Partizan,21,CS,"14,00 mln. €"
2000,PSV,Kevin Hofland  K. Hofland,Fortuna Sittard,21,CV,transfervrij
2000,PSV,Dennis Bo Mortensen  D. Mortensen,KB (FCK II),19,CS,transfervrij
2000,PSV,Marquinho  Marquinho,Alianza Lima,18,AM,?
2000,PSV,Cleberson  Cleberson,São Paulo,22,Verdediging,?
2000,PSV,Gino Coutinho  G. Coutinho,PSV O19,17,K,-
2000,PSV,Jürgen Colin  J. Colin,PSV O19,19,CV,-
